,X,Y,Z,W,X.1,Y.1,Z.1,Frame number
297,0.584807,0.65478,0.397868,-0.266394,-1.026703,0.413441,1.089538,2066
298,0.584964,0.654867,0.39756,-0.266293,-1.026692,0.41344,1.089514,2100
299,0.584905,0.654956,0.397585,-0.266167,-1.026711,0.413464,1.089535,2100
300,0.584677,0.654007,0.398882,-0.267059,-1.026721,0.413412,1.089512,2100
301,0.584798,0.654434,0.398249,-0.266693,-1.02671,0.413447,1.089519,2100
302,0.584837,0.653674,0.398903,-0.267495,-1.02673,0.413416,1.089483,2100
303,0.584736,0.654538,0.398115,-0.266774,-1.026697,0.413449,1.089502,2100
304,0.584833,0.654672,0.397879,-0.266583,-1.026697,0.413444,1.089505,2133
305,0.584964,0.656223,0.396154,-0.265048,-1.026685,0.413511,1.089573,2133
306,0.584858,0.655037,0.397571,-0.266091,-1.026698,0.413452,1.089539,2133
307,0.584821,0.654564,0.39809,-0.266558,-1.026704,0.413444,1.089543,2133
308,0.584968,0.655052,0.39744,-0.266008,-1.026696,0.413461,1.089548,2133
309,0.585008,0.655661,0.396705,-0.265519,-1.026674,0.413476,1.089554,2133
310,0.584907,0.654663,0.397879,-0.266443,-1.026688,0.413443,1.089512,2133
311,0.5849,0.655349,0.397226,-0.265745,-1.026691,0.41346,1.089561,2166
312,0.585069,0.655225,0.397126,-0.265828,-1.026684,0.41347,1.089529,2166
313,0.584967,0.654989,0.39742,-0.266195,-1.026689,0.413459,1.089532,2166
314,0.584612,0.653369,0.399564,-0.267743,-1.026732,0.413399,1.089503,2166
315,0.584861,0.655009,0.397599,-0.266111,-1.026694,0.413443,1.089545,2166
316,0.585015,0.655376,0.396991,-0.265777,-1.026677,0.413467,1.089533,2166
317,0.5848,0.654566,0.398171,-0.266482,-1.0267,0.413424,1.089533,2166
318,0.584746,0.653641,0.399135,-0.267425,-1.02672,0.413401,1.089491,2200
319,0.584825,0.65396,0.398775,-0.26701,-1.026714,0.413424,1.089513,2200
320,0.584888,0.654752,0.397794,-0.266396,-1.02668,0.413453,1.089527,2200
321,0.584838,0.654763,0.397827,-0.266427,-1.026692,0.413451,1.089531,2200
322,0.584726,0.654231,0.398449,-0.267051,-1.026704,0.413446,1.089491,2200
323,0.584709,0.653623,0.399141,-0.267543,-1.026718,0.413407,1.089477,2200
324,0.584791,0.653468,0.399269,-0.267552,-1.02673,0.413394,1.089477,2233
325,0.584837,0.654725,0.397961,-0.266324,-1.0267,0.413438,1.089532,2233
326,0.584672,0.653582,0.399262,-0.267542,-1.026728,0.413401,1.089478,2233
327,0.58483,0.654362,0.398248,-0.2668,-1.026704,0.413422,1.089507,2233
328,0.584792,0.654869,0.397806,-0.266298,-1.026708,0.413441,1.08954,2233
329,0.584518,0.652974,0.400151,-0.268037,-1.026745,0.413371,1.089485,2233
